demo,AlternateEmailAddresses,BlockCredential,City,Country,Department,DisplayName,Fax,FirstName,LastDirSyncTime,LastName,LastPasswordChangeTimestamp,LicenseAssignmentDetails,Licenses,MobilePhone,OathTokenMetadata,ObjectId,Office,PasswordNeverExpires,PhoneNumber,PostalCode,PreferredDataLocation,PreferredLanguage,ProxyAddresses,ReleaseTrack,SoftDeletionTimestamp,State,StreetAddress,StrongPasswordRequired,Title,UsageLocation,UserPrincipalName,WhenCreated
,,FALSE,,,,Alexander Junker,,Alexander,,Junker,2020-03-28 12:28:40Z,,Office 365 A5 for faculty,'+49 166 0014213,,093c2edf-1567-4584-a8de-1cecb6e7deb1,,FALSE,,,,,smtp:alexander.junker@bdsudemo.onmicrosoft.com+SMTP:alexander.junker@bdsu.it,,,,,TRUE,Teamleiter Marketing & PR,DE,alexander.junker@bdsu.it,2020-03-28 12:28:40Z
,,FALSE,,,,Alexander Koehler,,Alexander,,Koehler,2020-03-28 12:29:07Z,,Office 365 A5 for students,'+49 167 6650991,,62698fd0-131e-4086-addc-011b06e46c85,,FALSE,,,,,smtp:alexander.koehler@bdsudemo.onmicrosoft.com+SMTP:alexander.koehler@bdsu.it,,,,,TRUE,passives Mitglied,DE,alexander.koehler@bdsu.it,2020-03-28 12:29:07Z
,,FALSE,,,,Andrea Bergmann,,Andrea,,Bergmann,2020-03-28 12:28:39Z,,Office 365 A5 for faculty,'+49 165 1410990,,3ea86c4e-9ef8-4d94-91ac-fb856f377dbb,,FALSE,,,,,smtp:andrea.bergmann@bdsudemo.onmicrosoft.com+SMTP:andrea.bergmann@bdsu.it,,,,,TRUE,Teamleiter Internes,DE,andrea.bergmann@bdsu.it,2020-03-28 12:28:39Z
,,FALSE,,,,Christian Hoffmann,,Christian,,Hoffmann,2020-03-28 12:29:06Z,,Office 365 A5 for students,'+49 153 5501478,,d21ea887-3872-4628-87c7-ada2ae272419,,FALSE,,,,,smtp:christian.hoffmann@bdsudemo.onmicrosoft.com+SMTP:christian.hoffmann@bdsu.it,,,,,TRUE,Team Events,DE,christian.hoffmann@bdsu.it,2020-03-28 12:29:06Z
,,FALSE,,,,Christine Ehrlichmann,,Christine,,Ehrlichmann,2020-03-28 12:28:40Z,,Office 365 A5 for faculty,'+49 166 7784093,,2d2c471f-9fc0-4252-9c0b-1c6cc56b91bb,,FALSE,,,,,smtp:christine.ehrlichmann@bdsudemo.onmicrosoft.com+SMTP:christine.ehrlichmann@bdsu.it,,,,,TRUE,Teamleiter Prozessmanagement,DE,christine.ehrlichmann@bdsu.it,2020-03-28 12:28:40Z
,,FALSE,,,,David Gerber,,David,,Gerber,2020-03-28 12:28:34Z,,Office 365 A5 for faculty,'+49 167 5818057,,aa86a0b1-1dd3-4f64-bc61-c5bb37a71603,,FALSE,,,,,smtp:david.gerber@bdsudemo.onmicrosoft.com+SMTP:david.gerber@bdsu.it,,,,,TRUE,Team Warmakquise,DE,david.gerber@bdsu.it,2020-03-28 12:28:34Z
,,FALSE,,,,David Zimmerman,,David,,Zimmerman,2020-03-28 12:28:36Z,,Office 365 A5 for faculty,'+49 166 2248881,,7aa988fb-802a-4735-8f95-5b8b61308095,,FALSE,,,,,smtp:david.zimmerman@bdsudemo.onmicrosoft.com+SMTP:david.zimmerman@bdsu.it,,,,,TRUE,Beirat,DE,david.zimmerman@bdsu.it,2020-03-28 12:28:36Z
,,FALSE,,,,Dieter Baecker,,Dieter,,Baecker,2020-03-28 12:29:12Z,,Office 365 A5 for students,'+49 165 0050375,,98388a1c-95b0-47ec-881a-fdf993c669fc,,FALSE,,,,,smtp:dieter.baecker@bdsudemo.onmicrosoft.com+SMTP:dieter.baecker@bdsu.it,,,,,TRUE,Team Warmakquise,DE,dieter.baecker@bdsu.it,2020-03-28 12:29:12Z
,,FALSE,,,,Dominik Schmidt,,Dominik,,Schmidt,2020-03-28 12:28:34Z,,Office 365 A5 for faculty,'+49 153 4126225,,e2d70c38-0f83-4452-b8f4-1cb88924d5e0,,FALSE,,,,,smtp:dominik.schmidt@bdsudemo.onmicrosoft.com+SMTP:dominik.schmidt@bdsu.it,,,,,TRUE,Team QM,DE,dominik.schmidt@bdsu.it,2020-03-28 12:28:34Z
,,FALSE,,,,Erik Eberhardt,,Erik,,Eberhardt,2020-03-28 12:29:09Z,,Office 365 A5 for students,'+49 150 4526778,,11ed92de-92c5-45c4-ba68-eb0f1d2cced4,,FALSE,,,,,smtp:erik.eberhardt@bdsudemo.onmicrosoft.com+SMTP:erik.eberhardt@bdsu.it,,,,,TRUE,passives Mitglied,DE,erik.eberhardt@bdsu.it,2020-03-28 12:29:10Z
